Países,IDH,Ranking IDH,Ranking IDH,Var.
España [+],"0,904",25º,,0
Alemania [+],"0,947",6º,,2
Reino Unido [+],"0,932",13º,,-1
Francia [+],"0,901",26º,,0
Italia [+],"0,892",29º,,0
Portugal [+],"0,864",38º,,0
Estados Unidos [+],"0,926",17º,,0
Japón [+],"0,919",19º,,-1
China [+],"0,761",85º,,-2
Andorra [+],"0,868",36º,,0
Emiratos Árabes Unidos [+],"0,890",31º,,1
Afganistán [+],"0,511",169º,,0
Antigua y Barbuda [+],"0,778",78º,,0
Albania [+],"0,795",69º,,1
Armenia [+],"0,776",81º,,1
Angola [+],"0,581",148º,,3
Argentina [+],"0,845",46º,,0
Austria [+],"0,922",18º,,0
Australia [+],"0,944",8º,,1
Azerbaiyán [+],"0,756",88º,,0
Bosnia y Herzegovina [+],"0,780",73º,,0
Barbados [+],"0,814",58º,,-2
Bangladés [+],"0,632",133º,,-1
Bélgica [+],"0,931",14º,,1
Burkina Faso [+],"0,452",182º,,-1
Bulgaria [+],"0,816",56º,,0
Baréin [+],"0,852",42º,,1
Burundi [+],"0,433",185º,,1
Benín [+],"0,545",158º,,0
Brunéi [+],"0,838",47º,,0
Bolivia [+],"0,718",107º,,-1
Brasil [+],"0,765",84º,,0
Bahamas [+],"0,814",58º,,0
Bután [+],"0,654",129º,,0
Botsuana [+],"0,735",100º,,-2
Bielorrusia [+],"0,823",53º,,4
Belice [+],"0,716",110º,,2
Canadá [+],"0,929",16º,,2
República Democrática del Congo [+],"0,480",175º,,1
República Centroafricana [+],"0,397",188º,,0
República del Congo [+],"0,574",149º,,0
Suiza [+],"0,955",2º,,0
Costa de Marfil [+],"0,538",162º,,1
Chile [+],"0,851",43º,,0
Camerún [+],"0,563",153º,,0
Colombia [+],"0,767",83º,,0
Costa Rica [+],"0,810",62º,,1
Cuba [+],"0,783",70º,,-1
Cabo Verde [+],"0,665",126º,,1
Chipre [+],"0,887",33º,,1
Chequia [+],"0,900",27º,,1
Yibuti [+],"0,524",166º,,0
Dinamarca [+],"0,940",10º,,0
Dominica [+],"0,742",94º,,0
República Dominicana [+],"0,756",88º,,-1
Argelia [+],"0,748",91º,,0
